"fullname","id","likes","replies","retweets","text","timestamp","user"
"Joanne Bot","824345249380257799","3","1","2","Happiness is lifting others up! Become a support system #bellletstalk #acroyoga #acro #yoga… https://www.instagram.com/p/BPsyrniAO2w/ ","2017-01-25T19:56:37","fitbotSTUDIO"
"Jessica Pershick","824346317036146689","0","0","0","Because art makes me happy and @sDierxs inspires me to collage  #BellLetsTalk @ Toronto, Ontario https://www.instagram.com/p/BPszKVYFOWj/ ","2017-01-25T20:00:52","politeMIND"
"Entourage Studio","824346416525037582","0","0","0","Keep spreading the awareness everyone, let's do our part to help! #bellletstalk @ Entourage… https://www.instagram.com/p/BPszNdegAyF/ ","2017-01-25T20:01:15","StudioEntourage"
"tyrone biggums","824350363616546816","0","0","0","#BellLetsTalk  5 cents gets donated to mental health initiatives for every hashtag use so USE… https://www.instagram.com/p/BPs1ATZhNzg/ ","2017-01-25T20:16:57","twllvms"
"the Casual Gourmet","824351348527398913","0","0","1","#bellletstalk #mental health #mentalhealthawareness @ Port Credit https://www.instagram.com/p/BPs1dHBgO4w/ ","2017-01-25T20:20:51","thecasgou"
"TomNorth","824354021695594496","3","0","0","#BellLetsTalk day for #mentalhealth @ Queen's Park https://www.instagram.com/p/BPs2q5RhOks/ ","2017-01-25T20:31:29","TomNorth"
"The Peer Project","824358266176049152","0","0","0","A few folks from the team at Anderson College (Yonge & Finch) #BellLetsTalk @ The Peer Project -… https://www.instagram.com/p/BPs4mdbhoVl/ ","2017-01-25T20:48:21","PeerProject"
"The Peer Project","824358628731674624","0","0","0","LINC joining in to show their support #BellLetsTalk @ The Peer Project - Youth Assisting Youth https://www.instagram.com/p/BPs4xAFhvsv/ ","2017-01-25T20:49:47","PeerProject"
"Serena Carlucci","824358630149521408","0","0","0","#bell #bellletstalk #bellletstalkday #mentalhealth #awareness #toronto @ Toronto, Ontario https://www.instagram.com/p/BPs4w_ajwqx/ ","2017-01-25T20:49:47","SereCarlu"
"The Peer Project","824361339346788352","0","0","1","Future Skills High School showing their support #BellLetsTalk @ The Peer Project - Youth… https://www.instagram.com/p/BPs5_2UheYk/ ","2017-01-25T21:00:33","PeerProject"
"Kristin Booth","824364267663200256","11","1","4","Part 2 So sorry, I didn't realize that my message had been cut short. #bellletstalk… https://www.instagram.com/p/BPs7U1Bj0fZ/ ","2017-01-25T21:12:12","kristintbooth"
"#YYZHILIGHTZ","824365871107817476","0","0","0","Jan 25th join the conversation @Bell_LetsTalk by including #BellLetsTalk in your Instagram… https://www.instagram.com/p/BPs8DpSDXCF/ ","2017-01-25T21:18:34","YYZHilightz"
"Ishy G","824366401246871568","0","0","0","#BellLetsTalk  So proud the conversation is happening!  Keep it up!!!! @ Bell Campus https://www.instagram.com/p/BPs8S8KAIP9/ ","2017-01-25T21:20:40","ishygk"
"The Peer Project","824370525753323520","0","0","0","Sally, CEO @ The Peer Project #BellLetsTalk @ The Peer Project - Youth Assisting Youth https://www.instagram.com/p/BPs-LRRhiom/ ","2017-01-25T21:37:04","PeerProject"
"Ashley Duarte-Devlin","824371184502472704","3","0","0","#bellletstalk about my sister. She has been there for me since day 1 and has made sure that I… https://www.instagram.com/p/BPs-eTWgSwm/ ","2017-01-25T21:39:41","ashleyddevlin"
"Mike Shoss","824372560003497984","0","0","0","I hope every Canadian  is supporting #BellLetsTalk on this #WellnessWednesday. Let's end the… https://www.instagram.com/p/BPs_FLqAuy-/ ","2017-01-25T21:45:09","MikeShoss"
"Carlo Gon","824373722198982670","0","0","0","#BellLetsTalk #marytylermoore #marytylermooreshow #ripmarytylermoore #ripmtm #rip #beautiful… https://www.instagram.com/p/BPs_oKagf58/ ","2017-01-25T21:49:46","CarloGon"
"Deco-Tile Inc.","824380375027826699","0","0","0","Let's shed some light on mental health awareness with #Bellletstalk !! Our creative team at… https://www.instagram.com/p/BPspvuDgeIt/ ","2017-01-25T22:16:12","DecoTileInc"
"Spynga","824382086152916992","0","0","0","This week’s motivational post is not only for our fitness goals - today is #BellLetsTalk Day -… https://www.instagram.com/p/BPtDa-YDqFs/ ","2017-01-25T22:23:00","SpyngaINC"
"Taryn Hoffman","824382662777376768","2","0","1","Silence the Black Dog. #BellLetsTalk @ Toronto, Ontario https://www.instagram.com/p/BPtDsbTgL_y/ ","2017-01-25T22:25:17","tarho"
"james campbell","824383742819127297","0","0","0","Dad's been creative #BellLetsTalk @ Toronto, Ontario https://www.instagram.com/p/BPtEL28jZ9y/ ","2017-01-25T22:29:35","jamescampbell30"
"Tyrone T-rex Edwards","824384017583661064","11","0","83","Today is #BellLetsTalk day and over the years this day has only gotten bigger. This popularity… https://www.instagram.com/p/BPtETzFBuMt/ ","2017-01-25T22:30:40","mr1LOVETO"
"Trevor Lui","824386436916875264","0","0","1","#letstalkaboutit #bellletstalk #bellletstalkday #listen #empathy #mentalhealthawareness… https://www.instagram.com/p/BPtFaPDh4Ye/ ","2017-01-25T22:40:17","LuiSays"
"Blair Stutz","824387224129204224","0","0","0","Today is all about mental health awareness  use the #BellLetsTalk hashtag and Bell will donate… https://www.instagram.com/p/BPsuutKDuHz/ ","2017-01-25T22:43:25","blairalex"
"Alex D'Addese","824390211626872833","2","0","1","It's not about you or the team you play for. #BellLetsTalk is about all those who currently and… https://www.instagram.com/p/BPtHHooBNMD/ ","2017-01-25T22:55:17","alex_daddese"
"Kris Pangilinan","824395849228627968","0","0","1","I have my own thoughts about #BellLetsTalk but today isn't about me. It's about supporting those… https://www.instagram.com/p/BPtJsM1BXtv/ ","2017-01-25T23:17:41","KrisReports"
"Lee Harrison","824398685366849536","1","0","1","From Canoe #bellletstalk any time any day @ Canoe https://www.instagram.com/p/BPtK-q5gmak/ ","2017-01-25T23:28:57","leeharrisonca"
"The Peer Project","824398922474934272","0","0","0","Sunny, Case Coordinator @ The Peer Project #BellLetsTalk @ The Peer Project - Youth Assisting Youth https://www.instagram.com/p/BPtLFtHhLtZ/ ","2017-01-25T23:29:54","PeerProject"
"Jules","824399998167252993","0","0","2","#BellLetsTalk about these bangers and mash @ Duke of Somerset https://www.instagram.com/p/BPtLlApgpHM/ ","2017-01-25T23:34:10","obsessivejules"
"The Peer Project","824401410858967041","0","0","0","Dre and Emma showing their support #BellLetsTalk @ SilverCity Yonge-Eglinton Cinemas https://www.instagram.com/p/BPtMOIAB2H_/ ","2017-01-25T23:39:47","PeerProject"
"Raj Hunjan","824404624358731776","0","0","0","Today Jan 25 is #bellletstalk Think twice before you judge somebody, we all know someone who… https://www.instagram.com/p/BPtNrgVAIKh/ ","2017-01-25T23:52:33","hunjan_raj"
